Date,Main1,Main2,Main3,Main4,Main5,Euro1,Euro2
2026-04-21,31,32,36,39,47,7,8
2026-04-24,6,21,29,39,44,1,5
2026-04-28,19,20,41,43,46,5,7
2026-05-01,10,11,13,16,27,5,7
2026-05-05,1,30,33,34,43,5,10
2026-05-08,3,17,18,31,41,6,12
2026-05-12,7,15,19,28,35,3,11
2026-05-15,1,32,33,36,37,7,12
2026-05-19,10,36,37,39,47,5,6
2026-05-22,5,34,35,42,46,3,5
2026-05-26,5,11,23,33,42,10,12
2026-05-29,3,20,21,42,49,5,6
2026-06-02,2,36,38,40,46,7,8
2026-06-05,21,23,44,47,50,1,7
2026-06-09,1,14,22,39,48,8,11
2026-06-12,2,4,14,18,28,9,11
2026-06-16,9,26,29,37,42,1,7
2026-06-19,16,27,37,42,45,5,12
2026-06-23,24,27,43,48,50,4,12
2026-06-26,17,25,35,39,41,5,9
2026-06-30,12,19,34,44,50,3,8
2026-07-03,4,9,20,25,28,1,3
2026-07-07,6,16,24,41,46,2,3
2026-07-10,13,25,28,42,45,5,12
2026-07-14,5,6,17,34,36,3,11
2026-07-17,6,21,31,47,48,2,9
2026-07-21,4,8,10,17,37,5,7
2026-07-24,4,6,8,17,22,7,10
2026-07-28,11,25,40,41,45,1,5
2026-07-31,4,10,20,40,41,4,6
2026-08-04,3,17,30,35,43,1,12
2026-08-07,1,3,6,13,23,5,7
2026-08-11,4,11,12,16,30,8,9
2026-08-14,5,26,28,30,40,3,6
2026-08-18,15,22,24,34,42,4,7
2026-08-21,25,35,45,46,50,4,8
2026-08-25,4,5,7,48,50,4,5
2026-08-28,23,34,39,45,49,1,4
2026-09-01,9,14,35,43,50,3,7
2026-09-04,5,14,31,33,43,3,4
